F,T,Amp,P,Phi,G
0.03146156,17.42876912,183.1535928,168.8307723,57.88236548,-0.206193333
0.03146156,17.42876912,183.1535928,168.8307723,57.88236548,-0.206193333
0.03146156,17.42876912,183.1535928,168.8307723,57.88236548,-0.206193333
0.029431473,14.2347586,127.8683624,174.9094756,67.94515201,-1.466493333
0.027804382,13.78887137,132.5792146,174.9018906,67.88783876,-1.152783333
0.027190132,13.50032266,132.5792146,167.1630449,67.89084718,-0.988773333
0.023749535,11.81620273,132.6505671,177.4253872,67.94515201,-0.036763333
0.023749535,11.81620273,132.6505671,177.4253872,67.94515201,-0.036763333
0.023749535,11.81620273,132.6505671,177.4253872,67.94515201,-0.036763333
0.023749535,11.81620273,132.6505671,177.4253872,67.94515201,-0.036763333
0.02246664,10.37935308,144.3220013,177.4253872,67.94515201,-0.257423333
0.02212914,10.42491815,144.3220013,172.9286391,67.94515201,-0.116073333
0.02212914,10.42491815,144.3220013,172.9286391,67.94515201,-0.116073333
0.02212914,10.42491815,144.3220013,172.9286391,67.94515201,-0.116073333
0.02212914,10.42491815,144.3220013,172.9286391,67.94515201,-0.116073333
0.02212914,10.42491815,144.3220013,172.9286391,67.94515201,-0.116073333
0.021206839,9.498280405,159.3508277,177.1205886,67.59635299,-0.322073333
0.021206839,9.498280405,159.3508277,177.1205886,67.59635299,-0.322073333
0.020948024,9.269158327,159.4422368,177.2534027,66.54476064,-0.118583333
0.020943993,9.498280405,155.2497076,177.1205886,67.59635299,-0.060893333
0.020903089,9.495906284,159.3508277,172.9518665,67.58725153,-0.166103333
0.020903089,9.495906284,159.3508277,172.9518665,67.58725153,-0.166103333
0.020903089,9.495906284,159.3508277,172.9518665,67.58725153,-0.166103333
0.020842339,9.498280405,159.3508277,171.9304622,67.79861455,-0.117173333
0.020660089,9.490870849,159.3508277,168.3374467,67.59635299,-0.022473333
0.020660089,9.490870849,159.3508277,168.3374467,67.59635299,-0.022473333
0.020188529,8.242584706,159.3508277,171.9304622,74.9941376,-0.285603333
0.020188529,8.242584706,159.3508277,171.9304622,74.9941376,-0.285603333
0.020188529,8.242584706,159.3508277,171.9304622,74.9941376,-0.285603333
