F,T,Amp,P,Phi,G
0.017425459,12.83744474,294.102662,118.6655997,43.35528409,37.00146667
0.009007702,6.383347064,137.0859589,183.7693497,43.3972989,37.27496667
0.009007702,6.383347064,137.0859589,183.7693497,43.3972989,37.27496667
0.014257441,7.503659732,137.0859589,168.0312681,63.63619166,5.401866667
0.017137484,6.748220288,255.2515789,186.5488387,67.65379416,-0.070203333
0.017131014,6.519373304,216.1095563,195.0577984,66.51111592,-0.097883333
0.017070325,6.183117866,215.9584035,183.1888478,68.63260578,-0.172493333
0.016848164,6.394356525,188.9393102,192.9922589,71.64193968,-0.055993333
0.016848164,6.394356525,188.9393102,192.9922589,71.64193968,-0.055993333
0.016848164,6.394356525,188.9393102,192.9922589,71.64193968,-0.055993333
0.016848164,6.394356525,188.9393102,192.9922589,71.64193968,-0.055993333
0.016799461,6.478555881,194.1089457,197.5604266,69.32379031,-0.019803333
0.016799461,6.478555881,194.1089457,197.5604266,69.32379031,-0.019803333
0.016799461,6.478555881,194.1089457,197.5604266,69.32379031,-0.019803333
0.016799461,6.478555881,194.1089457,197.5604266,69.32379031,-0.019803333
0.016799461,6.478555881,194.1089457,197.5604266,69.32379031,-0.019803333
0.016766922,6.411104673,197.0827247,199.4827775,68.7600577,-0.013643333
0.016766922,6.411104673,197.0827247,199.4827775,68.7600577,-0.013643333
0.016766922,6.411104673,197.0827247,199.4827775,68.7600577,-0.013643333
0.016766922,6.411104673,197.0827247,199.4827775,68.7600577,-0.013643333
0.016766922,6.411104673,197.0827247,199.4827775,68.7600577,-0.013643333
0.016766922,6.411104673,197.0827247,199.4827775,68.7600577,-0.013643333
0.016766922,6.162120072,197.660614,197.4414532,68.71592424,-0.000513333
0.016766922,6.162120072,197.660614,197.4414532,68.71592424,-0.000513333
0.016766922,6.162120072,197.660614,197.4414532,68.71592424,-0.000513333
0.016766922,6.134542551,197.2219368,198.1363741,68.5767594,-0.007083333
0.016766922,6.134542551,197.2219368,198.1363741,68.5767594,-0.007083333
0.016766922,6.134542551,197.2219368,198.1363741,68.5767594,-0.007083333
0.016766922,6.134542551,197.2219368,198.1363741,68.5767594,-0.007083333
